idx,gold,pred_1,pred_2,pred_3,top1_correct,top3_correct
1,victor wembanyama,victor wembanyama,oscar tshiebwe,liam robbins,1,1
2,brandon miller,ausar thompson,jalen wilson,leonard miller,0,0
3,scoot henderson,scoot henderson,amen thompson,yuri collins,1,1
4,amen thompson,amen thompson,isaiah wong,yuri collins,1,1
5,ausar thompson,leonard miller,jalen wilson,ausar thompson,0,1
6,anthony black,jalen hood-schifino,brandin podziemski,nick smith jr.,0,0
7,bilal coulibaly,leonard miller,jalen wilson,hunter tyson,0,0
8,jarace walker,trayce jackson-davis,kris murray,taylor hendricks,0,0
9,taylor hendricks,trayce jackson-davis,kris murray,taylor hendricks,0,1
10,cason wallace,cason wallace,terquavion smith,isaiah wong,1,1
11,jett howard,jalen wilson,leonard miller,hunter tyson,0,0
12,dereck lively ii,drew timme,dereck lively ii,colin castleton,0,1
13,gradey dick,brandin podziemski,gradey dick,kobe brown,0,1
14,jordan hawkins,brandin podziemski,ben sheppard,jordan hawkins,0,1
15,kobe bufkin,brandin podziemski,ben sheppard,kobe bufkin,0,1
16,keyonte george,keyonte george,brandin podziemski,ben sheppard,1,1
17,jalen hood-schifino,brandin podziemski,nick smith jr.,jalen hood-schifino,0,1
18,jaime jaquez jr.,emoni bates,jaime jaquez jr.,brandin podziemski,0,1
19,brandin podziemski,ben sheppard,brandin podziemski,elijah harkless,0,1
20,cam whitmore,jalen wilson,leonard miller,cam whitmore,0,1
21,noah clowney,trayce jackson-davis,kris murray,mouhamed gueye,0,0
22,dariq whitehead,leonard miller,jalen wilson,hunter tyson,0,0
23,kris murray,trayce jackson-davis,kris murray,drew peterson,0,1
24,olivier-maxence prosper,trayce jackson-davis,toumani camara,olivier-maxence prosper,0,1
25,marcus sasser,marcus sasser,leonard miller,jalen wilson,1,1
26,ben sheppard,ben sheppard,colby jones,elijah harkless,1,1
27,nick smith jr.,trayce jackson-davis,oscar tshiebwe,leonard miller,0,0
28,brice sensabaugh,jalen wilson,leonard miller,hunter tyson,0,0
29,julian strawther,jalen wilson,julian strawther,leonard miller,0,1
30,kobe brown,sidy cissoko,kobe brown,jalen wilson,0,1
31,james nnaji,drew timme,colin castleton,oscar tshiebwe,0,0
32,jalen pickett,jalen pickett,elijah harkless,adam flagler,1,1
