idx,gold,pred_1,pred_2,pred_3,top1_correct,top3_correct
1,blake griffin,blake griffin,dante cunningham,taj gibson,1,1
2,hasheem thabeet,hasheem thabeet,byron mullens,marcus cousin,1,1
3,james harden,james harden,marcus thornton,tyreke evans,1,1
4,tyreke evans,tyreke evans,marcus thornton,jodie meeks,1,1
5,brandon jennings,ricky rubio,stephen curry,jrue holiday,0,0
6,ty lawson,stephen curry,darren collison,jrue holiday,0,0
7,stephen curry,stephen curry,jrue holiday,darren collison,1,1
8,dejuan blair,dejuan blair,taj gibson,dante cunningham,1,1
9,marcus thornton,terrence williams,marcus thornton,jodie meeks,0,1
10,jrue holiday,ricky rubio,jrue holiday,darren collison,0,1
11,jodie meeks,terrence williams,jodie meeks,jermaine taylor,0,1
12,antonio anderson,terrence williams,demar derozan,jermaine taylor,0,0
13,taj gibson,tyler hansbrough,taj gibson,dante cunningham,0,1
14,chase budinger,danny green,omri casspi,chase budinger,0,1
15,danny green,omri casspi,derrick brown,austin daye,0,0
16,omri casspi,austin daye,derrick brown,sam young,0,0
17,ricky rubio,ricky rubio,jeff teague,darren collison,1,1
18,darren collison,jeff teague,darren collison,rodrigue beaubois,0,1
19,jeff teague,jeff teague,rodrigue beaubois,eric maynor,1,1
20,rodrigue beaubois,eric maynor,patty mills,rodrigue beaubois,0,1
21,toney douglas,eric maynor,patty mills,justin dentmon,0,0
22,derrick brown,austin daye,derrick brown,demarre carroll,0,1
23,sam young,demarre carroll,sam young,austin daye,0,1
24,marcus cousin,byron mullens,marcus cousin,garret siler,0,1
25,patty mills,eric maynor,patty mills,lester hudson,0,1
26,jonas jerebko,tyler hansbrough,dante cunningham,jeff pendergraph,0,0
27,austin daye,earl clark,demarre carroll,austin daye,0,1
28,garrett temple,demar derozan,terrence williams,jermaine taylor,0,0
29,eric maynor,eric maynor,jonny flynn,lester hudson,1,1
30,taylor griffin,earl clark,demarre carroll,james johnson,0,0
31,dante cunningham,jeff pendergraph,dante cunningham,tyler hansbrough,0,1
32,terrence williams,demar derozan,terrence williams,wayne ellington,0,1
33,marcus landry,jordan hill,jeff adrien,jeff pendergraph,0,0
34,lester hudson,jonny flynn,jeremy pargo,lester hudson,0,1
35,tyler hansbrough,jordan hill,tyler hansbrough,jeff pendergraph,0,1
36,demarre carroll,demarre carroll,earl clark,james johnson,1,1
37,jeff pendergraph,jordan hill,jon brockman,jeff pendergraph,0,1
38,jeff adrien,jordan hill,dajuan summers,jon brockman,0,0
39,jordan hill,jordan hill,ahmad nivins,henk norel,1,1
40,christian eyenga,earl clark,james johnson,robert dozier,0,0
41,jermaine taylor,gerald henderson,demar derozan,wayne ellington,0,0
42,cedric jackson,jonny flynn,cedric jackson,jeremy pargo,0,1
43,demar derozan,demar derozan,wayne ellington,gerald henderson,1,1
44,earl clark,earl clark,james johnson,robert dozier,1,1
45,justin dentmon,jonny flynn,patrick beverley,jeremy pargo,0,0
46,wesley matthews,james johnson,robert dozier,wesley matthews,0,1
47,jon brockman,jon brockman,ahmad nivins,emir preld,1,1
48,alonzo gee,james johnson,robert dozier,alonzo gee,0,1
49,wayne ellington,wayne ellington,gerald henderson,robert vaden,1,1
50,garret siler,goran suton,garret siler,byron mullens,0,1
51,dionte christmas,gerald henderson,dionte christmas,robert vaden,0,1
52,jonny flynn,nick calathes,patrick beverley,sergio llull,0,0
53,jeremy pargo,nick calathes,patrick beverley,jeremy pargo,0,1
54,dajuan summers,jack mcclinton,gerald henderson,sergiy gladyr,0,0
55,nick calathes,sergio llull,patrick beverley,nick calathes,0,1
56,terrel harris,emir preld,ahmad nivins,chinemelu elonu,0,0
57,byron mullens,ahmad nivins,byron mullens,emir preld,0,1
58,josh akognon,patrick beverley,a. j. price,nando de colo,0,0
59,ahmad nivins,gerald henderson,ahmad nivins,chinemelu elonu,0,1
60,gerald henderson,james johnson,v,luigi datome,0,0
